dataset,AUC_S,AUC_S_std,AUC_T,AUC_T_std,AUC_N,AUC_N_std,AUC_S+T,AUC_S+T_std,AUC_S+N,AUC_S+N_std,AUC_T+N,AUC_T+N_std,AUC_S+T+N,AUC_S+T+N_std,Delta_S,Delta_T,Delta_N_ST,corr_T_PageRank_pearson,corr_T_InDegree_pearson,corr_T_PageRank_spearman,corr_T_InDegree_spearman
protein_folding,0.5223,0.0831,0.8242,0.113,0.1331,0.0547,0.7706,0.1072,0.3389,0.076,0.6923,0.0429,0.7003,0.0976,-0.0536,0.2483,-0.0702,0.0085,0.0085,-0.0005,0.0643
CRISPR,0.5363,0.1627,0.7503,0.0318,0.3656,0.05,0.7284,0.0662,0.4909,0.1496,0.7214,0.0429,0.7325,0.0825,-0.0219,0.192,0.0041,0.495,0.4952,-0.2003,0.2967
neuroblastoma,0.5282,0.0612,0.6436,0.0579,0.1918,0.036,0.6249,0.0422,0.4937,0.063,0.5487,0.0549,0.6269,0.0308,-0.0188,0.0966,0.002,0.0207,0.0213,0.0924,0.0634
osteosarcoma,0.4962,0.0487,0.7141,0.0587,0.2744,0.0138,0.6703,0.0589,0.4825,0.0753,0.6559,0.0403,0.6704,0.0564,-0.0438,0.1741,0.0001,0.2536,0.2536,0.094,0.1644
additive_manufacturing,0.5205,0.1021,0.6687,0.0479,0.2474,0.0193,0.6163,0.0593,0.4866,0.1084,0.5608,0.101,0.5937,0.0789,-0.0523,0.0958,-0.0226,0.0679,0.0688,-0.2422,0.0867
corrosion_protection,0.4765,0.0905,0.6207,0.1051,0.1855,0.0585,0.5901,0.0884,0.4355,0.0768,0.5309,0.0949,0.534,0.0782,-0.0306,0.1136,-0.0562,0.074,0.0756,-0.1463,0.0845
income_inequality,0.5823,0.0629,0.6152,0.0465,0.2238,0.0467,0.595,0.1003,0.492,0.0413,0.5002,0.0632,0.5331,0.0596,-0.0202,0.0127,-0.0619,0.2587,0.2588,0.027,0.2109
organizational_behavior,0.4806,0.0853,0.6273,0.0645,0.324,0.0225,0.6198,0.0641,0.4861,0.0826,0.5917,0.0746,0.6081,0.0928,-0.0075,0.1392,-0.0116,0.3652,0.3652,0.1309,0.2394
film_studies,0.5283,0.0289,0.7033,0.0366,0.2665,0.0247,0.7023,0.0404,0.5333,0.049,0.6241,0.0405,0.6837,0.0434,-0.001,0.174,-0.0186,0.0504,0.0509,-0.2722,0.0744
memory_studies,0.4457,0.0639,0.5773,0.0139,0.2164,0.0525,0.5494,0.0551,0.4764,0.0533,0.4567,0.0426,0.5543,0.0487,-0.028,0.1036,0.005,0.0266,0.0267,-0.0615,0.0411
